index,gold_tags,pred_tags,gold_spans,pred_spans,error_type
0,B-COMP I-COMP I-COMP O O,O O I-COMP I-COMP I-COMP,"[(0, 2, 'COMP')]",[],missed_entity
1,O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP O I-COMP I-COMP I-COMP I-COMP O O I-COMP I-COMP O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O I-COMP I-COMP I-COMP O O O O O O I-COMP I-COMP O O I-COMP I-COMP I-COMP I-COMP O O O O O O O,"[(13, 17, 'COMP'), (56, 60, 'COMP')]",[],missed_entity
2,O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O,O O O O O O O O O O O I-COMP I-COMP I-COMP O O O O O O O O I-COMP,"[(11, 12, 'COMP')]",[],missed_entity
3,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O,O O O O O O O O O O O I-COMP O O O O O O I-COMP I-COMP O O O O O O O O O O O O O O O O O O O I-COMP I-COMP I-COMP O O O I-COMP I-COMP O I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP I-COMP O I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[(40, 45, 'COMP'), (47, 52, 'COMP'), (54, 61, 'COMP'), (63, 76, 'COMP')]",[],missed_entity
4,O B-COMP I-COMP I-COMP B-COMP I-COMP I-COMP,O O I-COMP I-COMP I-COMP I-COMP I-COMP,"[(1, 3, 'COMP'), (4, 6, 'COMP')]",[],missed_entity
5,O O O O O O B-COMP I-COMP I-COMP,O O O O O O O O O,"[(6, 8, 'COMP')]",[],missed_entity
7,O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O B-COMP I-COMP O O O O,O O O I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O I-COMP O O O O O O I-COMP I-COMP O O O O O O O O O O O O O O I-COMP O O O I-COMP O I-COMP I-COMP O I-COMP I-COMP I-COMP O O O O O O O I-COMP O O O I-COMP I-COMP I-COMP O I-COMP O O O O I-COMP O O O O I-COMP I-COMP I-COMP O O O O O O O O O O O O O O I-COMP O O I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP O O I-COMP O O O O O I-COMP I-COMP I-COMP I-COMP O O O O O O I-COMP O I-COMP I-COMP O O O O O O O I-COMP,"[(2, 3, 'COMP'), (29, 32, 'COMP'), (65, 65, 'COMP'), (106, 106, 'COMP'), (125, 126, 'COMP'), (144, 146, 'COMP'), (148, 150, 'COMP'), (162, 163, 'COMP'), (178, 179, 'COMP')]",[],missed_entity
8,O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP,O O O O O O I-COMP O O O O O I-COMP I-COMP O O O O O O O O I-COMP O O O O I-COMP,"[(25, 27, 'COMP')]",[],missed_entity
9,O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O B-COMP I-COMP O O O O O O O B-COMP I-COMP,O O O O O O O O O O O I-COMP I-COMP I-COMP I-COMP O O I-COMP I-COMP I-COMP I-COMP O O O O O O O,"[(10, 13, 'COMP'), (17, 18, 'COMP'), (26, 27, 'COMP')]",[],missed_entity
10,O O O O B-COMP I-COMP I-COMP,O O O O O I-COMP I-COMP,"[(4, 6, 'COMP')]",[],missed_entity
