index,text,true_label,pred_label,confidence,prob_class_0,prob_class_1
37,"đặt hôm qua là hôm nay nhận đc đơn r, ưng sản phẩm bên shop nên chỉ đặt của shop đó giờ",0,1,0.529019129977689,0.470980870022311,0.529019129977689
56,Lợi ích:duong da Kinh nghiệm sử dụng:chua co Hương thơm:k ro  Giao hang nhanh Đung san pham Co qua tang kem  Chua su dung len khong ro Khong bi mop meo,0,1,0.6024214562775815,0.3975785437224186,0.6024214562775815
99,"Giao hàng nhanh. Nhưng bên vận chuyển ném vứt làm bục vỡ chẩy sữa hỏng 3 bịch, sữa bị chẩy ra lên men hỏng gây mùi khó chịu và ướt cả thùng.",0,1,0.9985828528380368,0.0014171471619632,0.9985828528380368
137,Lần đầu mua nên mình k biét nó ra sao để tháng sau quay lại đánhbgias nh,0,1,0.7888675198397186,0.2111324801602813,0.7888675198397186
216,"Nhận đc hàng nhưng bị móp từ hộp giấy bên ngoài đến hộp sữa bên trong, hơi buồn",0,1,0.8917097606324308,0.1082902393675693,0.8917097606324308
223,Hàng chính hãng không có gì để nói về chất lượng canh sale mua nè,0,1,0.578472866104486,0.421527133895514,0.578472866104486
266,"Sản phẩm nhận không như mong đợi, mỏng, nón không được cứng cáp, đội mất form không đẹp 👎👎",0,1,0.9908174863530056,0.0091825136469942,0.9908174863530056
318,100k có giá của 100k này ngoài tiệm bán chắc là k dưới 200,0,1,0.8515912615077718,0.1484087384922283,0.8515912615077718
342,Chất lượng:được tặng 1 lọ dầu gội đầu thank shop,0,1,0.8326086811266311,0.1673913188733688,0.8326086811266311
368,"Shop giao hàng nhanh, sản phẩm nguyên seal mùi thơm lắm. Shop phải kiểm tra lại nguồn hàng xem sao chứ cùng 1 nhóm dưỡng trắng mà cái mùi chai này thì thơm như cái hộp kem dưỡng đợt trc mình xài hết rồi. Còn đợt này mua lại hộp kem dưỡng ban đêm thì thấy nó hôi lắm, hắc mùi hoá chất ko chịu đc. chứ ko thơm dễ chịu như trc",0,1,0.6922298380092867,0.3077701619907132,0.6922298380092867
384,"Bút khi viết còn hay nghẹt mực,nhìn chung sản phẩm ổn,bút ghi êm",0,1,0.6658349345647189,0.3341650654352811,0.6658349345647189
391,Sữa đỗ bể chảy tùm lum k giải quyết 😡😡😡😡,0,1,0.9959896553529132,0.0040103446470868,0.9959896553529132
399,"Serum vào nếp thơm suôn mềm mượt. Điểm trừ là nút nhấn bị kẹt, nhấn ko ra serum, phải mở nắp chai để dùng",0,1,0.8309860388011225,0.1690139611988775,0.8309860388011225
442,"Mịn:ok Kiểm soát dầu:ok  Đại khái là tôi nghe được một câu như thế này, nếu như tôi thích cậu, cậu cũng vừa lúc thích tôi, thì khi tóc cậu rối, tôi sẽ chính tay chỉnh lại gọn nếp và đôi bàn tay tôi sẽ nán lại trên tóc cậu đôi phút, nhưng nếu tôi thích cậu mà không may, cậu không thích tôi, thì khi tóc cậu rối, tôi chỉ có thể nói ""Tóc cậu rối rồi”",0,1,0.701398032627618,0.298601967372382,0.701398032627618
460,Mình hay mua của shop mà vừa rồi giao cho mình 2 lon móp quá trời luôn 😢,0,1,0.7807591737665077,0.2192408262334921,0.7807591737665077
479,quá tuyệt vời chưa bh h thấy trên cõi đời này thật sự tuyệt vời he he,0,1,0.5795791421631006,0.4204208578368993,0.5795791421631006
505,"Cũng mới sài loại này nên đánh giá ban đầu của t là serum hơi lỏng, thoa lên tóc ko có cảm giác bết dính, đc cái thơm.",0,1,0.6219001003263562,0.3780998996736437,0.6219001003263562
510,"Hương vị:sữa đặc Bao bì/Mẫu mã:mẫu mã giống hình shop đăng  Shop bao gói ổn, mua giá flashsale 13k nên không đòi hỏi gì nhiều. Chất lượng sản phẩm chưa uống nên chưa đánh giá được",0,1,0.5055172444712692,0.4944827555287308,0.5055172444712692
517,Shop giao hàng nhanh. Ms đặt hôm 20-21 nhận luôn nè. Chỗ mình đang bị vỡ kho k có ship giao nên đặt hàng mà đc gọi giao hàng là mừng lắm,0,1,0.8684957419730178,0.1315042580269822,0.8684957419730178
535,"Dép đi rất đẹp, m đã mua nhiều đôi bên shop này rồi. Trước mua 1 đôi shop gửi nhầm size mà hoàn hàng lâu lắm chưa thấy hoàn tiền",0,1,0.7285809632504847,0.2714190367495153,0.7285809632504847
545,Nhỏ xíu à đóng gói siêu kĩ luôn. Niêm phong tận mấy lớp. Có dieu k che tên sp. sợ ai để í . Để hàng ở sân chưa kịp về ngta thó mata. Kkk,0,1,0.6861174524050191,0.3138825475949809,0.6861174524050191
655,"Chất lượng tốt lắm. Shop có thể đừng dùng keo trong dán lên nắp được không. Đã rất cố gắng nhiều lần nhưng mở keo ra lần nào cũng bị dính chai, làm chai bám bụi. Nhìn bẩn và mỗi lần sử dụng đều dính dính vào tay.",0,1,0.8212312635649833,0.1787687364350165,0.8212312635649833
657,"Kinh nghiệm sử dụng:chưa dùng Bao bì:sành, nhìn sang  Chưa sài đánh giá để lấy xu",0,1,0.5921768182279904,0.4078231817720096,0.5921768182279904
