index,gold_tags,pred_tags,gold_spans,pred_spans,error_type
0,B-COMP I-COMP I-COMP O O,I-COMP B-COMP I-COMP I-COMP I-COMP,"[(0, 2, 'COMP')]","[(1, 4, 'COMP')]",boundary_error
1,O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O I-COMP I-COMP O O B-COMP I-COMP I-COMP I-COMP I-COMP O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O I-COMP O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O,"[(13, 17, 'COMP'), (56, 60, 'COMP')]","[(14, 18, 'COMP'), (30, 34, 'COMP'), (44, 47, 'COMP'), (57, 62, 'COMP'), (64, 68, 'COMP')]",boundary_error
2,O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O,O O O O O O O O O O B-COMP O B-COMP I-COMP O O O O O O O O O,"[(11, 12, 'COMP')]","[(10, 10, 'COMP'), (12, 13, 'COMP')]",boundary_error
3,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O,O O O O O O O O O O I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[(40, 45, 'COMP'), (47, 52, 'COMP'), (54, 61, 'COMP'), (63, 76, 'COMP')]","[(44, 45, 'COMP'), (51, 57, 'COMP')]",boundary_error
6,O O O O O O B-COMP I-COMP O O O O O O B-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP,O O O O O O O O I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O B-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP B-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP,"[(6, 7, 'COMP'), (14, 14, 'COMP'), (48, 49, 'COMP'), (50, 55, 'COMP'), (57, 59, 'COMP')]","[(16, 16, 'COMP'), (51, 51, 'COMP'), (52, 55, 'COMP'), (57, 59, 'COMP')]",boundary_error
7,O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP O O O O O O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O B-COMP I-COMP O O O O,O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O I-COMP O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O B-COMP I-COMP O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O B-COMP B-COMP I-COMP B-COMP I-COMP O O O O O O O O B-COMP I-COMP O O O O O O O B-COMP,"[(2, 3, 'COMP'), (29, 32, 'COMP'), (65, 65, 'COMP'), (106, 106, 'COMP'), (125, 126, 'COMP'), (144, 146, 'COMP'), (148, 150, 'COMP'), (162, 163, 'COMP'), (178, 179, 'COMP')]","[(3, 4, 'COMP'), (29, 33, 'COMP'), (38, 41, 'COMP'), (72, 78, 'COMP'), (88, 89, 'COMP'), (92, 100, 'COMP'), (120, 128, 'COMP'), (138, 143, 'COMP'), (145, 148, 'COMP'), (150, 156, 'COMP'), (161, 161, 'COMP'), (162, 163, 'COMP'), (164, 165, 'COMP'), (174, 175, 'COMP'), (183, 183, 'COMP')]",boundary_error
9,O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O B-COMP I-COMP O O O O O O O B-COMP I-COMP,O O O O O O O B-COMP I-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP O O O B-COMP I-COMP O O O O O O O O,"[(10, 13, 'COMP'), (17, 18, 'COMP'), (26, 27, 'COMP')]","[(7, 10, 'COMP'), (11, 14, 'COMP'), (18, 19, 'COMP')]",boundary_error
10,O O O O B-COMP I-COMP I-COMP,O O O O O B-COMP I-COMP,"[(4, 6, 'COMP')]","[(5, 6, 'COMP')]",boundary_error
11,B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP,I-COMP B-COMP I-COMP I-COMP I-COMP I-COMP O O,"[(0, 7, 'COMP')]","[(1, 5, 'COMP')]",boundary_error
12,O O B-COMP I-COMP I-COMP O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O B-COMP I-COMP I-COMP I-COMP O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O I-COMP I-COMP I-COMP O O B-COMP I-COMP I-COMP O O B-COMP I-COMP I-COMP B-COMP I-COMP I-COMP I-COMP O O O O O O O O O B-COMP I-COMP O I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[(2, 4, 'COMP'), (15, 18, 'COMP'), (23, 26, 'COMP'), (32, 36, 'COMP')]","[(9, 11, 'COMP'), (14, 16, 'COMP'), (17, 20, 'COMP'), (30, 31, 'COMP')]",boundary_error
13,O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O,O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O B-COMP I-COMP I-COMP I-COMP O O O B-COMP I-COMP I-COMP I-COMP O I-COMP I-COMP I-COMP O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP,"[(8, 12, 'COMP'), (19, 22, 'COMP'), (46, 50, 'COMP')]","[(9, 13, 'COMP'), (20, 23, 'COMP'), (27, 30, 'COMP'), (48, 51, 'COMP')]",boundary_error
14,O O B-COMP I-COMP,O O O B-COMP,"[(2, 3, 'COMP')]","[(3, 3, 'COMP')]",boundary_error
15,B-COMP I-COMP O B-COMP I-COMP O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O B-COMP I-COMP I-COMP O O O B-COMP I-COMP B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O,O B-COMP I-COMP O B-COMP I-COMP O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O B-COMP I-COMP B-COMP I-COMP B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O,"[(0, 1, 'COMP'), (3, 4, 'COMP'), (13, 20, 'COMP'), (29, 31, 'COMP'), (35, 36, 'COMP'), (37, 40, 'COMP'), (63, 66, 'COMP')]","[(1, 2, 'COMP'), (4, 5, 'COMP'), (14, 17, 'COMP'), (30, 32, 'COMP'), (36, 37, 'COMP'), (38, 39, 'COMP'), (40, 45, 'COMP'), (64, 69, 'COMP')]",boundary_error
16,B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O,O B-COMP I-COMP B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O B-COMP I-COMP O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O O O,"[(0, 3, 'COMP'), (25, 26, 'COMP'), (31, 33, 'COMP')]","[(1, 2, 'COMP'), (3, 6, 'COMP'), (19, 21, 'COMP'), (27, 28, 'COMP'), (40, 43, 'COMP')]",boundary_error
17,O O B-COMP I-COMP O O O O O B-COMP I-COMP O B-COMP I-COMP O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O,O B-COMP O B-COMP I-COMP O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP O O O O O O O O O B-COMP I-COMP I-COMP I-COMP,"[(2, 3, 'COMP'), (9, 10, 'COMP'), (12, 13, 'COMP'), (23, 26, 'COMP')]","[(1, 1, 'COMP'), (3, 4, 'COMP'), (9, 11, 'COMP'), (13, 14, 'COMP'), (24, 27, 'COMP')]",boundary_error
18,O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP,O O O O O B-COMP I-COMP I-COMP O B-COMP I-COMP,"[(4, 6, 'COMP'), (8, 10, 'COMP')]","[(5, 7, 'COMP'), (9, 10, 'COMP')]",boundary_error
19,O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O,O O O O O O O B-COMP B-COMP I-COMP O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O B-COMP I-COMP O O O O O O O O O,"[(6, 7, 'COMP'), (26, 28, 'COMP'), (48, 50, 'COMP')]","[(7, 7, 'COMP'), (8, 9, 'COMP'), (28, 30, 'COMP'), (41, 42, 'COMP')]",boundary_error
20,O O O O O O B-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O B-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O,"[(6, 7, 'COMP')]","[(7, 12, 'COMP'), (14, 17, 'COMP')]",boundary_error
21,O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O,O O O B-COMP B-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMP I-COMP I-COMP I-COMP O O O O O B-COMP I-COMP I-COMP I-COMP I-COMP I-COMP O O O O O O O O,"[(2, 10, 'COMP'), (59, 62, 'COMP'), (68, 73, 'COMP')]","[(3, 3, 'COMP'), (4, 8, 'COMP'), (30, 32, 'COMP'), (60, 63, 'COMP'), (69, 74, 'COMP')]",boundary_error
