review,rating,complaint_label
Hương thơm:nhẹ nhàng Lợi ích:phục hồi cấp ẩm Mẹo:không có  Shop đóng gói cẩn thận chu đáo lắm Ship nhanh  Shiper thân thiện Sẽ ủng hộ tiếp tục nha  Tks,5,0
"Chất lượng sản phẩm:ok Đúng với mô tả:đúng  Lần đầu mua ở shop. Đóng gói kĩ, sản phẩm chất lượng, dễ dán. Nên mua nha. Mình sẽ quay lại ủng hộ.",5,0
Độ tuổi sử dụng:em bes Chất lượng sản phẩm:tot  Sản phẩm đúng mô tả sẽ mua lại hình ảnh mang tc nhận xu,5,0
"Hương vị:Mix vị, Tím  Mình mua 64 gói (32 gói mix vị + 32 gói tím). Tuy nhiên shop giao thiếu tận 4 gói. Đây là lần thứ hai shop giao hàng thiếu cho mình. Có phản ánh vs shop nhưng ko thấy cải thiện. Trong kinh doanh, uy tín là quan trọng. Shop hứa cải thiện nhưng ko làm được. Mình rất thất vọng và sẽ ko bao giờ quay lại ủng hộ nữa.",1,1
"Màu sắc:Black & Grey Đúng với mô tả:100% Chất liệu:Cotton  Giao hàng nhanh, đóng gói kĩ càng, chất liệu Trunk Cotton mát, đã mua lần thứ 2",5,0
"Chất lượng sản phẩm:thấy mọi người rư nhiều nên mua thử dùng cho bé xem có cải thiện khô da k, nhưng dùng được vài lần thì bé từ bị khô da nhẹ chuyển sang mẩn đỏ li ti lan rộng từ mặt xuống cổ xuống bụng, bé ngứa ngáy cứ gãi suốt",1,1
Mua máy về chưa dc 1 tháng mà sấy lúc lên lúc khôg lên không nên mua,1,1
lỡ mua vị không đường huhuuu vị rất ngon rất béoooo nhma hơi bùn một tí,5,0
Hàng chưa nhận được shiper lại báo đang giao không biết shopee làm ăn kiểu gì,1,1
Chất lượng không giống mong đợi như review trên tiktok.  Hơi bị thất vọng.,2,1
"Gió:gio manh Chức năng:nhiều chức năng  Máy đẹp, chạy êm , gió mạnh , màu máy đẹp. Hàng y hình nhưng có chỗ thiết bị nó bị lỏng mình phản hồi nt với shop nhiều lần mà k thấy shop tl. Làm ăn thì tác trách",2,1
Phù hợp với loại da:ok Mùi hương:10 Công dụng:10  Sao mình mua không đc tặng quà kèm theo vậy??? Săn sale 4.4 104k. Đọc cmt thấy ai cũng đc tặng mà mình thì ko?,2,1
Sữa tắm sử dụng rất là tốt nè đã sử dụng được 2 chai rồi chai to sử dụng được rất lâu..,5,0
"Bao bì:gọn, dễ dùng Hương thơm:nhẹ nhàng Kinh nghiệm sử dụng:thoa vào da dễ tán  Sản phẩm đóng gói cẩn thận, giao hàng nhanh, SP dễ dùng, phù hợp cho da dầu mụn",5,0
"Phù hợp với loại da:mọi loại da Mùi hương:cà phê Công dụng:làm sạch  Săn sale có 1xx bé, hạt cà phê mịn, thơm nồng",5,0
Lợi ích:san pham oke da duong am mem min Làm đẹp:tu 18t tro len Bao bì:thiet ke dep mau tim chac chan,5,0
"Kính thì dễ dán, hiệu quả chống xước, trầy tốt, dán kính cường lực sẽ giảm độ nhạy cảm ứng nhma đối với kính của mình nó giảm độ nhạy nhiều khiến mình khá khó chịu. Mình có báo lại với shop nhưng mà shop thờ ơ khôn quan tâm Update mới bị úp mh xuống là bể luôn=)",2,1
Quảng cáo quà tặng ko rõ ràng.,2,1
"Độ đậm:mực ra đều , trơn , mượt , ghi chép thì siêu hích lun Viết êm:mực ra đều , vt êm lắm nha Cầm chắc:cầm chắc tay , thoải mái khi vt  Bút nhà thiên long thì siêu xịn òi mn , nên mua nhé",5,0
nói mua 1 tặng1 mà giao chỉ có chai dầu gội,2,1
Mua có quà tặng mà nhận thì không có,2,1
Hàng lỗi không đc bảo hành,1,1
Gói hàng khùng điên dán hết lên lon sữa móp tùm lum còn dơ nữa,1,1
"Quy trình giao hàng rất chậm trễ, và shop ko giải quyết vấn đề cho khách hàng",1,1
"Nhận hàng quá thất vọng,đã nhắn nhờ shop giao balo hồng cho mình vì nhà có 2 bé gái vậy mà shop vẫn cố tình giao cho mình màu xanh. Biết là giao ngẫu nhiên nhưng ngta đã nhờ thì nên giao đúng chứ....haiz",2,1
"Sản phẩm sịn thấm nhanh, tiệp vào da, tạo 1 lớp màng bóng nhẹ, dùng rất thích tuy nhiên hiệu quả chống nắng không cao nha",5,0
"Kinh nghiệm sử dụng:ok Hương thơm:k mùi Mẹo:k cos  Giao hàng nhanh đóng gói đầy đủ cẩn thận, chất lượng ọk",5,0
"t phải mua cả mấy chục chai tẩy trang này xài rồi, mua cả cho t và người thân ấy. Ai cũng ưng tẩy siêu sạch dù là mascara, sale siêu rẻ chỉ tầm 150k 1 chai ý mà bth bên ngoài bán tận hơn 200 lận😻 tôi yêu loreal",5,0
ko nhận đc khuyến mại,2,1
"Giao hàng nhanh, chất lượng sản phẩm ổn, mùi thơm dễ chịu không kích ứng da",5,0
"Độ tuổi sử dụng:1t Bao bì/Mẫu mã:bt Chất lượng sản phẩm:bt  Lần nào mua 2 lon thì sẽ có 1 lon bị móp trong khi thùng đóng rất chắc chắn, có bọc xốp chống sốc chắc chắn chứng to sữa đã bị móp từ trước rồi mới giao cho khách nhé",2,1
Hàng đẹp chất lượng tốt ! Sẽ mua ủng hộ thêm ! Cảm ơn shop idiekejtjfjf,5,0
"Mẹo:dùng với nước tẩy trang Kinh nghiệm sử dụng:su dung lau kho mat, Bao bì:hop ly  Hàng dung mềm mại, đã, k bị bong trong săn giá 147k rẻ",5,0
"Phù hợp với loại da:ok Mùi hương:ok Công dụng:ok  mùi lạ hơn so vs nhiều lọ mình từng dùng nhưng k quá hắc, thơm nhè nhẹ thôi, dưỡng ẩm vừa phải k quá tốt",5,0
"Son dùng thù cũng được, nhưng vẫn rate 1* vì quả campaign cổ xuý bạo lực phụ nữ",1,1
gói hàng quá sơ sài . họp móp méo đủ kiểu mà ko có nổi 1 miếng chống sốc. mang tiếng mua sale 15/8 mà đắt hơn ngày thường,1,1
"Hương vị:.  Bao bì,  mẫu mã kém chất lượng. đóng gói thiếu trách nhiệm làm cho một trong hai hộp sữa vận chuyển tới bị móp méo, thật sự là đóng gói như là không.  mình đã góp ý với shop nhiều lần rồi nhưng vẫn không khắc phục được, đã vậy không biết tại sao hãng để chế tạo ra các kiểu mở hộp gì kỳ lạ vậy.",1,1
nghĩ shop nhiều lượt theo dõi r shop mall phải bán hàng sịn sò chứ mk về dùng thử mùi hắc và k mượt như mua ở siêu thị. quá thất vọng luôn . :(((( đây là trải nghiệm hoàn toàn thực tế của mình chứ k phải nhà bán hàng nào cố ý cạnh tranh cả . tệ hơn chữ tệ,1,1
"Chất kem mịn, thơm, lâu trôi Nâng tông nhẹ",5,0
Mẹo:ok Lợi ích:ok Hương thơm:ok  Sản phẩm ok nên mua nha mọi người .tôi luôn chọn unileve mua sn tâm lắm giá ok la,5,0
