,review,review_tokenize,label,domain
0,gói hàng cẩn thận . chơi pubg với liên quân mượt với giá như này thì quá tốt,gói hàng cẩn_thận . chơi pubg với liên_quân mượt với giá_như này thì quá tốt,0.0,mobile
1,mình góp ý thật nhé.. đừng bắt phải đăng nhập zalo nữa mình muốn tải nhạc mà không được lấy lại tôi không zalo thì gửi tin nhắn mất tiền được mã kích hoạt lại không chính xác.. mình thấy 10 ngưòi thì họ khó chịu cả 10.. lập trình viên viết ra ứng dụng ngày càng dễ sử dụng đằng này càng ngày lại càng phức tạp và... bài đánh giá đầy đủ,mình góp_ý thật nhé . . đừng bắt phải đăng_nhập zalo nữa mình muốn tải nhạc mà không được lấy lại tôi không zalo thì gửi tin nhắn mất tiền được mã kích_hoạt lại không chính_xác . . mình thấy 10 ngưòi thì họ khó_chịu cả 10 . . lập_trình_viên viết ra ứng_dụng ngày_càng dễ sử_dụng đằng này càng ngày lại càng phức_tạp và ... bài đánh_giá đầy_đủ,1.0,app
2,"máy khá đẹp,pin trâu vân tay nhạy nhận diện khuôn mặt nhanh nói chung ổn.tuy chơi game frE fire bị chậm khung hình không mượt lắm nhưng với giá giẫm ngày 1111 được aD mã giảm giá 200k còn hơn 2tr6 thì vậy là ngon rồi","máy khá đẹp , pin trâu vân tay nhạy nhận_diện khuôn_mặt nhanh nói_chung ổn . tuy chơi game frE fire bị chậm khung hình không mượt lắm nhưng với giá giẫm ngày 1111 được aD mã giảm_giá 200k còn hơn 2tr6 thì vậy là ngon rồi",1.0,mobile
3,"một mớ lỗi: không xem lại được bài test, không hiện link( ví dụ như là youtube khi chia sẻ) không copy được từ không biết để dịch. làm ơn cho về bản web đi","một mớ lỗi : không xem_lại được bài test , không hiện link ( ví_dụ như là youtube khi chia_sẻ ) không copy được từ không biết để dịch . làm_ơn cho về bản web đi",1.0,app
4,đặc mẫu xanh mà sao giao mẫu này vậy  cửa hàng ,đặc mẫu xanh mà sao giao mẫu này vậy cửa_hàng,1.0,fashion
5, đẹp  lam luon... ung hộ  cửa hàng  dài dài nữa 😘😘😘😘😘,đẹp lam luon ... ung hộ cửa_hàng dài_dài nữa 😘 😘 😘 😘 😘,0.0,fashion
6,máy mới nguyên zin rất được,máy mới nguyên zin rất được,0.0,mobile
7,"hàng giao nhanh mới đặt từ trưa qua mà sáng ngày hôm sau đã đến nơi rồi,hàng được đóng gói cẩn thận chắc chắn,mình mua đúng dịp khuyến mãi nên vừa được tặng kèm maCara lại còn được giảm giá với frE giao hàng nữa chứ","hàng giao nhanh mới đặt từ trưa qua mà sáng ngày hôm sau đã đến nơi rồi , hàng được đóng_gói cẩn_thận chắc_chắn , mình mua đúng dịp khuyến_mãi nên vừa được tặng kèm maCara lại còn được giảm_giá với frE giao hàng nữa chứ",0.0,cosmetic
8, sản phẩm  đẹp. rất ưng ý,sản_phẩm đẹp . rất ưng_ý,0.0,fashion
9,"mình hồi trước có xài thử decumar nhưng không có hiệu  quả  nhiều. chuyển qua nhãn_hiệu dùng trong lần đầu thì thấy hiệu  quả  rõ rệt, da mềm mịn hơn, vết mụn bớt sưng đỏ. rất hài lòng với sản phẩm ^^","mình hồi trước có xài thử decumar nhưng không có hiệu_quả nhiều . chuyển qua nhãn_hiệu dùng trong lần đầu thì thấy hiệu_quả rõ_rệt , da mềm mịn hơn , vết mụn bớt sưng đỏ . rất hài_lòng với sản_phẩm ^ ^",0.0,cosmetic
