id,review,review_tokenize,complaint_label,domain,split
train_000001,gói hàng cẩn thận . chơi pubg với liên quân mượt với giá như này thì quá tốt,gói hàng cẩn_thận . chơi pubg với liên_quân mượt với giá_như này thì quá tốt,0,mobile,train
train_000002,mình góp ý thật nhé.. đừng bắt phải đăng nhập zalo nữa mình muốn tải nhạc mà không được lấy lại tôi không zalo thì gửi tin nhắn mất tiền được mã kích hoạt lại không chính xác.. mình thấy 10 ngưòi thì họ khó chịu cả 10.. lập trình viên viết ra ứng dụng ngày càng dễ sử dụng đằng này càng ngày lại càng phức tạp và... bài đánh giá đầy đủ,mình góp_ý thật nhé . . đừng bắt phải đăng_nhập zalo nữa mình muốn tải nhạc mà không được lấy lại tôi không zalo thì gửi tin nhắn mất tiền được mã kích_hoạt lại không chính_xác . . mình thấy 10 ngưòi thì họ khó_chịu cả 10 . . lập_trình_viên viết ra ứng_dụng ngày_càng dễ sử_dụng đằng này càng ngày lại càng phức_tạp và ... bài đánh_giá đầy_đủ,1,app,train
train_000003,"máy khá đẹp,pin trâu vân tay nhạy nhận diện khuôn mặt nhanh nói chung ổn.tuy chơi game frE fire bị chậm khung hình không mượt lắm nhưng với giá giẫm ngày 1111 được aD mã giảm giá 200k còn hơn 2tr6 thì vậy là ngon rồi","máy khá đẹp , pin trâu vân tay nhạy nhận_diện khuôn_mặt nhanh nói_chung ổn . tuy chơi game frE fire bị chậm khung hình không mượt lắm nhưng với giá giẫm ngày 1111 được aD mã giảm_giá 200k còn hơn 2tr6 thì vậy là ngon rồi",1,mobile,train
train_000004,"một mớ lỗi: không xem lại được bài test, không hiện link( ví dụ như là youtube khi chia sẻ) không copy được từ không biết để dịch. làm ơn cho về bản web đi","một mớ lỗi : không xem_lại được bài test , không hiện link ( ví_dụ như là youtube khi chia_sẻ ) không copy được từ không biết để dịch . làm_ơn cho về bản web đi",1,app,train
train_000005,đặc mẫu xanh mà sao giao mẫu này vậy  cửa hàng ,đặc mẫu xanh mà sao giao mẫu này vậy cửa_hàng,1,fashion,train
train_000006, đẹp  lam luon... ung hộ  cửa hàng  dài dài nữa 😘😘😘😘😘,đẹp lam luon ... ung hộ cửa_hàng dài_dài nữa 😘 😘 😘 😘 😘,0,fashion,train
train_000007,máy mới nguyên zin rất được,máy mới nguyên zin rất được,0,mobile,train
train_000008,"hàng giao nhanh mới đặt từ trưa qua mà sáng ngày hôm sau đã đến nơi rồi,hàng được đóng gói cẩn thận chắc chắn,mình mua đúng dịp khuyến mãi nên vừa được tặng kèm maCara lại còn được giảm giá với frE giao hàng nữa chứ","hàng giao nhanh mới đặt từ trưa qua mà sáng ngày hôm sau đã đến nơi rồi , hàng được đóng_gói cẩn_thận chắc_chắn , mình mua đúng dịp khuyến_mãi nên vừa được tặng kèm maCara lại còn được giảm_giá với frE giao hàng nữa chứ",0,cosmetic,train
train_000009, sản phẩm  đẹp. rất ưng ý,sản_phẩm đẹp . rất ưng_ý,0,fashion,train
train_000010,"mình hồi trước có xài thử decumar nhưng không có hiệu  quả  nhiều. chuyển qua nhãn_hiệu dùng trong lần đầu thì thấy hiệu  quả  rõ rệt, da mềm mịn hơn, vết mụn bớt sưng đỏ. rất hài lòng với sản phẩm ^^","mình hồi trước có xài thử decumar nhưng không có hiệu_quả nhiều . chuyển qua nhãn_hiệu dùng trong lần đầu thì thấy hiệu_quả rõ_rệt , da mềm mịn hơn , vết mụn bớt sưng đỏ . rất hài_lòng với sản_phẩm ^ ^",0,cosmetic,train
train_000011,"tôi cập nhật lại aP hack não này từ hôm qua lúc tôi làm đã đến unit 40 nhưng lúc cập nhật về mở ra thì nó lại trở về unit 28 (lúc mà tôi cập nhật lần đầu tiên ,còn đây là lần thứ 2 tôi cập nhật) tôi chỉ cho aP này   1star   cho đến khi nào aP trở về trạng thái ban đầu ( đủ hết 40 unit như lúc chưa cậ... bài đánh giá đầy đủ","tôi cập_nhật lại aP hack não này từ hôm_qua lúc tôi làm đã đến unit 40 nhưng lúc cập_nhật về mở ra thì nó lại trở về unit 28 ( lúc mà tôi cập_nhật lần đầu_tiên , còn đây là lần thứ 2 tôi cập_nhật ) tôi chỉ cho aP này 1star cho đến khi nào aP trở về trạng_thái ban_đầu ( đủ hết 40 unit như lúc chưa cậ ... bài đánh_giá đầy_đủ",1,app,train
train_000012,mình mới tiếp xúc và bắt đầu tự học nhưng đã thấy ứng dụng rất tốt. mong admin sẽ phát triển ứng dụng tốt hơn nữa. cám ơn,mình mới tiếp_xúc và bắt_đầu tự học nhưng đã thấy ứng_dụng rất tốt . mong admin sẽ phát_triển ứng_dụng tốt hơn nữa . cám_ơn,0,app,train
train_000013,sản phẩm tốt giá rẻ 👍,sản_phẩm tốt giá rẻ 👍,0,cosmetic,train
train_000014,"chào tiki, bạn giao thiếu hàng của tôi, thậm chí là cả giấy biL dán lên kiện cũng chỉ ghi một món thôi mà vẫn đề thu giá tiền 2 món sao. ? ban đầu khi thấy gói hàng được đóng rất cẩn thận làm mình rất hài lòng, nhưng sau khi mở ra và phát hiện lỗi này thì mình rất thất vọng, liệu có phải bạn cố ý làm... bài đánh giá đầy đủ","chào tiki , bạn giao thiếu hàng của tôi , thậm_chí là cả giấy biL dán lên kiện cũng chỉ ghi một món thôi mà vẫn đề thu giá tiền 2 món sao . ? ban_đầu khi thấy gói hàng được đóng rất cẩn_thận làm mình rất hài_lòng , nhưng sau khi mở ra và phát_hiện lỗi này thì mình rất thất_vọng , liệu có phải bạn cố_ý làm ... bài đánh_giá đầy_đủ",1,app,train
train_000015,giao đủ sản phẩm... mong là lần sau  cửa hàng  giao hàng nên gói sản phẩm vào bọc nhựa chống xóc... cứ để không lông trong hộp như vậy mà cái hộp đựng thì không gian chứa quá rộng... mong  cửa hàng  chú ý,giao đủ sản_phẩm ... mong là lần sau cửa_hàng giao hàng nên gói sản_phẩm vào bọc nhựa chống xóc ... cứ để không lông trong hộp như vậy_mà cái hộp đựng thì không_gian chứa quá rộng ... mong cửa_hàng chú_ý,1,cosmetic,train
train_000016,"sản phẩm nguyên seal, dóng goi cẩn thận","sản_phẩm nguyên seal , dóng goi cẩn_thận",0,mobile,train
train_000017,"mới dùng 2 ngày chưa thấy hiệu  quả  lắm.  được  cái nhìn da min và láng hơn. tinh chất thấm nhanh và không gây dầu nữa. mỗi tội lazada vận chuyển hàng tẹ quá, không hết vỏ hộp bung lọ tinh chất ra ngoài làm mình cứ lo hàng giả nhưng test lại với thuốc sát trùng thì vẫn đúng. hy vọng dùng một thời gian nữa da sẽ có cải thiện","mới dùng 2 ngày chưa thấy hiệu_quả lắm . được cái nhìn da min và láng hơn . tinh_chất thấm nhanh và không gây dầu nữa . mỗi tội lazada vận_chuyển hàng tẹ quá , không hết vỏ hộp bung lọ tinh_chất ra ngoài làm mình cứ lo hàng giả nhưng test lại với thuốc sát_trùng thì vẫn đúng . hy_vọng dùng một thời_gian nữa da sẽ có cải_thiện",1,cosmetic,train
train_000018,"phần mềm chay tốt, thường xuyên được cập nhật thêm tỉnh năng mới. mong moi người cài đặt để bảo vệ mình và bảo vệ cộng đồng.","phần_mềm chay tốt , thường_xuyên được cập_nhật thêm tỉnh năng mới . mong moi người cài_đặt để bảo_vệ mình và bảo_vệ cộng_đồng .",0,app,train
train_000019,được làm bạn,được làm_bạn,0,fashion,train
train_000020,"em có một tài khoản lần đầu em bị mất xim nên em đã thêm số điện thoại mới. thế mà mới vừa rồi em đổi mật khẩu quên khuấy mất. nên em dùng số mới để quên mật khẩu mà nó cứ đòi gửi mã về số điện thoại cũ kia. bây giờ em không biết làm như thế này cả, tài khoản ấy em chơi mấy năm rồi .","em có một tài_khoản lần đầu em bị mất xim nên em đã thêm số điện_thoại mới . thế_mà mới vừa_rồi em đổi mật_khẩu quên_khuấy mất . nên em dùng số mới để quên mật_khẩu mà nó cứ đòi gửi mã về số điện_thoại cũ kia . bây_giờ em không biết làm như thế này cả , tài_khoản ấy em chơi mấy năm rồi .",1,app,train
train_000021,"game khá hay, nhưng hơi mất cân bằng giữa các phái. cần giảm sức mạnh của phái người thú đặc biệt là brutus xem bảng xếp hạng toàn thấy đội người thú thôi chán lắm. tỉ lệ ra tướng tím cũng khá thấp. càng về sau thì màn chơi hơi đuối nên lâu lắm mới qua được một màn boS. chế độ trong game nên phong p... bài đánh giá đầy đủ","game khá hay , nhưng hơi mất cân_bằng giữa các phái . cần giảm sức_mạnh của phái người thú đặc_biệt là brutus xem bảng xếp_hạng toàn thấy đội người thú thôi chán lắm . tỉ_lệ ra tướng tím cũng khá thấp . càng về sau thì màn chơi hơi đuối nên lâu lắm mới qua được một màn boS . chế_độ trong game nên phong p ... bài đánh_giá đầy_đủ",1,app,train
train_000022,"son được,nhưng không lì lắm","son được , nhưng không lì lắm",1,cosmetic,train
